Prj_ID,Trt_ID,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,FID_TrtPoly002,ObjectID_Union,ObjectID_CountOverlapping,treatment_count,init_date_est,comp_date_est,Init_Date,Comp_Date,init_est,comp_est,init_comp_elapsed,Plan_Imp,Success,Dates_Confirmed,Units,Num_Units,Treatment_Seeded,Seed_List,Seed_Mix_Name,Seeds_or_Seedlings,Seed_List_Confirmed,Control_Areas,Seed_Application_Rate,Seed_Notes,Objectives,Planned_Implementation,Actual_Implementation,Treatment_Effect_and_Results,Trt_Feature_Type,Feature_Status,How_Feature_Created,Feature_Creation_Date,Total_Acres,BLM_Acres,GIS_Notes,Initiated_By,Trt_Concerns,Trt_Concerns_Desc,Problems_Apply_Trt,Problems_Apply_Trt_Desc,Conditions_At_Trt,Conditions_At_Trt_Desc,Trt_Notes,User_Updated,init_m,init_d,init_y,init_m_est,init_d_est,comp_m,comp_d,comp_y,comp_m_est,comp_d_est
10938,29587,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,18997,3590,2266,3,2009-01-15,2009-03-15,1/15/2009,3/15/2009,actual,actual,59,Implemented,None,2,Acres,3103,0,NA,NA,NA,NA,NA,NA,NA,"\u2022 Reduce pinyon and juniper establishment on sagebrush ecological sites in order to\r\nimprove the overall vegetative composition within the ecological site potential and\r\nimprove the health, vigor and production of perennial grass, forb and shrub species\r\n\r\n\u2022 Improve the available habitat for neighboring sage grouse, mule deer and elk populations\r\n\r\n\u2022 Reduce the risk of large, uncontrolled wild fires by reducing fuel loading and continuity\r\nwithin the South Spring Valley watershed and meet FRCC 1\r\n\r\n\u2022 Restore the historic disturbance regime within the project area","The mechanical treatment, chaining, uses a large anchor chain approximately 100-200 feet long pulled in a 'U&$ shape behind two tractors or dozers. Most green chaining are done as a two-way, meaning chained one way and then chained back the opposite way for higher tree mortality.",NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,3103.545756,3102.107607,NA,NA,None,NA,None,NA,None,NA,NA,10:38:00,1,15,2009,01,15,3,15,2009,03,15
10938,29589,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,18998,3591,2266,3,2009-01-15,2009-03-15,1/15/2009,3/15/2009,actual,actual,59,Implemented,None,2,Acres,3103,0,NA,NA,NA,NA,NA,NA,NA,"\u2022 Reduce pinyon and juniper establishment on sagebrush ecological sites in order to\r\nimprove the overall vegetative composition within the ecological site potential and\r\nimprove the health, vigor and production of perennial grass, forb and shrub species\r\n\r\n\u2022 Improve the available habitat for neighboring sage grouse, mule deer and elk populations\r\n\r\n\u2022 Reduce the risk of large, uncontrolled wild fires by reducing fuel loading and continuity\r\nwithin the South Spring Valley watershed and meet FRCC 1\r\n\r\n\u2022 Restore the historic disturbance regime within the project area","The mechanical treatment, chaining, uses a large anchor chain approximately 100-200 feet long pulled in a 'U&$ shape behind two tractors or dozers. Most green chaining are done as a two-way, meaning chained one way and then chained back the opposite way for higher tree mortality.",NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,3103.545756,3102.107607,NA,NA,None,NA,None,NA,None,NA,NA,10:38:00,1,15,2009,01,15,3,15,2009,03,15
474,1269,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,848,9069,3237,3,1966-06-27,1966-12-01,6/27/1966,12/1/1966,actual,actual,157,Implemented,None,2,Acres,3900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Area was chained one way with heavy-ships anchor chain (70# 1ft.) pulled by two D-8 tractors.,NA,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,9/4/2012,4336.290877,4336.290887,NA,NA,Unknown,NA,None,NA,None,NA,NA,37:07:00,6,27,1966,06,27,12,1,1966,12,01
474,1271,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,850,9071,3237,3,1966-06-19,1966-12-01,6/19/1966,12/1/1966,actual,actual,165,Implemented,None,2,Acres,3900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"After application of seed, area was chained 2nd time in opposite direction",NA,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,9/4/2012,4336.290877,4336.290887,NA,NA,Unknown,NA,None,NA,None,NA,NA,37:07:00,6,19,1966,06,19,12,1,1966,12,01
7593,20735,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,13154,9834,3900,3,1967-10-05,1967-11-24,10/5/1967,11/24/1967,actual,actual,50,Implemented,Unknown,1,Acres,1200,0,No seed list,NA,NA,NA,NA,NA,NA,...chaining...,"After the area has been seeded, the tractors shall then return over the same area dragging the chain in exactly the opposite direction from the first pass, thus chaining the entire area twice. Small islands of trees shall be left as wildlife shelters.\r\n\r\nThe contractor shall furnish...tractors...\r\n\r\nThe chain furnished by the government...",The entire area was then chained again in the opposite direction.,Unknown.,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,2/10/2014,1193.037356,1164.617025,NA,Contractor,Other (See Related Notes),...chaining the area twice.,Unknown,NA,Unknown,NA,Treatment funded by BLM''s Soil & Watershed Conservation program.\r\n\r\nEstimated initiation and completion dates based on project start and end dates indicated in Project Completion Report.\r\n\r\nPlanned cost based on halving total planned cost of $8400 for the two chaining treatments indicated in Project Estimate.,04:00:00,10,5,1967,10,05,11,24,1967,11,24
7593,20733,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,13155,9835,3900,3,1967-10-05,1967-11-24,10/5/1967,11/24/1967,actual,actual,50,Implemented,Unknown,1,Acres,1200,-1,Confirmed seed list,Miners Mountain Aerial Seeding Mix,Seeds,Confirmed on Paper,Unknown,Unknown,"The seed mix did not indicate whether bulk or PLS rates were used, therefore, unknown has been listed and all seed mix information has been entered into the Bulk category. \r\n\r\nRate of seeding unspecified.",...chaining...,"The tractors shall make one pass with the chain, after which the area will be seeded... During the seeding operation the chaining will be suspended...\r\n\r\nIslands of trees will be left for game habitat within exterior boundaries of chaining.\r\n\r\nDuring the chaining operation, straight lines & trees along boundaries will be avoided -- curved lines will be encouraged to improve esthetic values.\r\n\r\nTwo (2) ""seed dribblers&& will be furnished by the government...so attached that &&browse&& seed will be dropped from the dribblers on the track pad just as it is ready to break over and be covered by the action of the tractor cleats and anchor chain.\r\n\r\nSeed dribblers will only be used on the first chaining.","Seedbed was prepared by pulling anchor chain between two D-8 Caterpillar tractors.\r\n\r\nChaining was done under contract with Earl Sawyer & Sons, Hatch, UT. A browse seed dribbler was attached to one tractor to seed fourwing saltbush.",Unknown.,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,2/10/2014,1193.037356,1164.617025,NA,Contractor,Seedbed Preparation,Seedbed was prepared by [chaining].,Unknown,NA,Unknown,NA,Treatment funded by BLM''s Soil & Watershed Conservation program.\r\n\r\nEstimated initiation and completion dates based on project start and end dates indicated in Project Completion Report.\r\n\r\nPlanned cost based on halving total planned cost of $8400 for the two chaining treatments indicated in Project Estimate.,04:00:00,10,5,1967,10,05,11,24,1967,11,24
16813,45316,Seeding,Ground Seeding,Ground Seeding: Dribble,27112,12465,4213,7,2017-01-17,2017-01-17,1/17/2017,1/17/2017,actual,actual,0,Implemented,See Comments,2,Acres,323,-1,Confirmed seed list,West Govemmenl Creek Dribbler 1,Seeds,Confirmed on Paper,Unknown,Species Specific,PLS lbs/ac: 0.57\r\nSeed was mixed at GBRC in Ephraim.\r\nMix Lot #: cr-re-wgcd1-17,Objective: Perennial species at least 40% composition of the total plant community after the 5th full growing\r\nseason (2021) following the fire.,NA,"\u2026dribbler seed mixes were applied as part of the chaining operations. Normally, we just have one dribbler mix. \u2026Due to a wide variety of shrubs that went into the dribbler mix and a shortage of cliffrose, the DWR and BLM decided to have two separtae dribbler mixes. One mix was dribbled out of one dozer and the other was dribbled out of the second dozer.","2017: Seeded and volunteer plant material look very good the first year following the fire. Composition and vigor of seeded species is very impressive. Perennial composition has already reached and exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2017 averaged approximately 73% for three monitoring locations.\r\n2018: Three Nested Plot Frequency transects were completed on the West Government Creek ESR on\r\nMay 31 and June 14, 2018. Seeded and volunteer plant material continue to look very good into\r\nthe second year following the fire. Plant vigor of seeded species is excellent. Perennial\r\ncomposition once again exceeded the 5-year 40% composition objective. The 40% composition\r\nobjective is measured using nested plot frequency of perennial vegetation. Relative frequency of\r\nperennial species in 2018 averaged approximately 70% for three monitoring locations.\r\n\r\n2019: Two Nested Plot Frequency transects were completed on the West Government Creek ESR on June 25 and June 29, 2019. Seeded and volunteer plant material continue to look very good into the second year following the fire. Plant vigor of seeded species is excellent. Perennial composition once again exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2018 averaged approximately 60% for two monitoring locations. Detailed vegetation monitoring results are documented below.\r\n\r\n2020: Three Nested Plot Frequency transects were completed on the West Government Creek ESR on June 17 and June 18, 2020. Seeded and volunteer plant material continue to look vigorous into the fourth year following the fire. Perennial composition once again exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2020 was a phenomenal average of 83% for three monitoring locations. Detailed vegetation monitoring results are documented below.\r\n\r\n2021: Due to budget restrictions vegetation and weeds monitoring was not conducted during the 2021 field season. The West Government Creek ESR project has met its objective of 40% relative perennial frequency composition in the first and all subsequent years for monitored sites.",Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",1/1/1900 0:00,376.3360277,376.3360277,NA,Unknown,"Establishment of seeded species, Habitat for wildlife, Habitat productivity, Habitat quality, Habitat for greater sage grouse, Erosion, Invasive species, Invasion by non-native annuals, Invasion by cheatgrass, Noxious weeds",Establish perennial species,NA,NA,NA,NA,"The dribbler seeding was done as part of chaining operations and only 323 acres of chaining was completed so, it is assumed that only 323 acres was seeded with the dribbler mix.\r\n\r\nSeed mix cost: $19,257.55\r\nApplication cost: Unknown",23:17:00,1,17,2017,01,17,1,17,2017,01,17
16813,45317,Seeding,Ground Seeding,Ground Seeding: Dribble,27113,12466,4213,7,2017-01-17,2017-01-17,1/17/2017,1/17/2017,actual,actual,0,Implemented,See Comments,2,Acres,323,-1,Confirmed seed list,West Government Creek Dribbler 2,Seeds,Confirmed on Paper,Unknown,Species Specific,PLS lbs/ac: 0.37\r\nSeed was mixed at GBRC in Ephraim.\r\nMix Lot #: cr-re-wgcd2-17,Objective: Perennial species at least 40% composition of the total plant community after the 5th full growing\r\nseason (2021) following the fire.,NA,"\u2026dribbler seed mixes were applied as part of the chaining operations\u2026Due to a wide variety of shrubs that went into the dribbler mix and a shortage of cliffrose, the DWR and BLM decided to have two separtae dribbler mixes. One mix was dribbled out of one dozer and the other was dribbled out of the second dozer.","2017: Seeded and volunteer plant material look very good the first year following the fire. Composition and vigor of seeded species is very impressive. Perennial composition has already reached and exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2017 averaged approximately 73% for three monitoring locations.\r\n\r\n2018: Three Nested Plot Frequency transects were completed on the West Government Creek ESR on\r\nMay 31 and June 14, 2018. Seeded and volunteer plant material continue to look very good into\r\nthe second year following the fire. Plant vigor of seeded species is excellent. Perennial\r\ncomposition once again exceeded the 5-year 40% composition objective. The 40% composition\r\nobjective is measured using nested plot frequency of perennial vegetation. Relative frequency of\r\nperennial species in 2018 averaged approximately 70% for three monitoring locations.\r\n\r\n2019: Two Nested Plot Frequency transects were completed on the West Government Creek ESR on June 25 and June 29, 2019. Seeded and volunteer plant material continue to look very good into the second year following the fire. Plant vigor of seeded species is excellent. Perennial composition once again exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2018 averaged approximately 60% for two monitoring locations. Detailed vegetation monitoring results are documented below.\r\n\r\n2020: Three Nested Plot Frequency transects were completed on the West Government Creek ESR on June 17 and June 18, 2020. Seeded and volunteer plant material continue to look vigorous into the fourth year following the fire. Perennial composition once again exceeded the 5-year 40% composition objective. The 40% composition objective is measured using nested plot frequency of perennial vegetation. Relative frequency of perennial species in 2020 was a phenomenal average of 83% for three monitoring locations. Detailed vegetation monitoring results are documented below.\r\n\r\n2021: Due to budget restrictions vegetation and weeds monitoring was not conducted during the 2021 field season. The West Government Creek ESR project has met its objective of 40% relative perennial frequency composition in the first and all subsequent years for monitored sites.",Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",1/1/1900 0:00,376.3360277,376.3360277,NA,Unknown,"Establishment of seeded species, Habitat for wildlife, Habitat productivity, Habitat quality, Habitat for greater sage grouse, Erosion, Invasive species, Invasion by non-native annuals, Invasion by cheatgrass, Noxious weeds",Establish perennial species,NA,NA,NA,NA,"The dribbler seeding was done as part of chaining operations and only 323 acres of chaining was completed so, it is assumed that only 323 acres was seeded with the dribbler mix.\r\n\r\nSeed mix cost: $19,257.55\r\nApplication cost: Unknown",23:17:00,1,17,2017,01,17,1,17,2017,01,17
1096,3014,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,1930,9144,4623,3,1966-09-27,1966-12-14,9/27/1966,12/14/1966,actual,actual,78,Implemented,None,2,Acres,3043,0,NA,NA,NA,NA,NA,NA,NA,To prevent erosion and to increase the carrying capacity of the area for deer and cattle.,"The seed bed will be prepared by double chaining, using 40 lb. anchor chain pulled between two D-8 tractors.","3,043 acres of pinyon juniper were chained twice with 40 lb. anchor chain pulled between two D-8 cats.",NA,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,7/11/2014,3510.25082,3410.038983,NA,NA,"Brush control, Carrying capacity, Erosion",Purpose is to prevent erosion and to increase the carrying capacity of the area for deer and cattle.,None,NA,None,NA,NA,59:11:00,9,27,1966,09,27,12,14,1966,12,14
1096,3016,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,1932,9146,4623,3,1966-09-27,1966-12-14,9/27/1966,12/14/1966,actual,actual,78,Implemented,NA,0,Acres,3043,0,NA,NA,NA,NA,NA,NA,NA,To prevent erosion and to increase the carrying capacity of the area for deer and cattle.,"The seed bed will be prepared by double chaining, using 40 lb. anchor chain pulled between two D-8 tractors.","3,043 acres of pinyon juniper were chained twice with 40 lb. anchor chain pulled between two D-8 cats.",NA,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,7/11/2014,3510.25082,3410.038983,NA,NA,"Brush control, Carrying capacity, Erosion",Purpose is to prevent erosion and to increase the carrying capacity of the area for deer and cattle.,None,NA,None,NA,NA,03:06:00,9,27,1966,09,27,12,14,1966,12,14
