Project Key,Primary Key,Line Key,Record Key,Form Type,Form Date,Date Visited,Soil Stability Subsurface,Line,Position Number,Transect Position,Vegetation,Rating,Hydrophobic,Notes,Source,Database Key,Date Loaded in Database,row
BLM_AIM,14082008203380452014-09-01,NA,1408201146194114,NA,2014-08-19,2014-08-20,1,1,2,NA,Sh,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,6236
BLM_AIM,14090812101193972014-09-01,NA,1409081217588136,NA,2014-09-07,2014-09-08,1,NA,4,16,G,2,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,6444
BLM_AIM,14090812101193972014-09-01,NA,1409081217588136,NA,2014-09-07,2014-09-08,1,NA,2,8,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,6456
BLM_AIM,15040413411121212015-09-01,NA,1504070813088623,NA,2015-04-03,2015-04-04,1,2,4,NA,Sh,3,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,7588
BLM_AIM,15092809290612732015-09-01,NA,1509281138593440,NA,2015-09-23,2015-09-24,1,3,5,NA,G,6,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,10287
BLM_AIM,16033015141631992016-09-01,NA,1604011251563008,NA,2016-03-29,2016-03-30,1,NA,8,NA,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,11234
BLM_AIM,16062716452159282016-09-01,NA,1606281126286256,NA,2016-06-27,2016-06-28,1,1,1,NA,NC,6,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,12812
BLM_AIM,17080811053859472017-09-01,NA,1708210747561144,NA,2017-08-20,2017-08-21,1,3,6,NA,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,19073
BLM_AIM,17081009553679232017-09-01,NA,1708210953544574,NA,2017-08-09,2017-08-10,1,NA,12,NA,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,19220
BLM_AIM,1805201227363122018-09-01,NA,1805221509372864,NA,2018-05-19,2018-05-20,1,1,1,NA,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,25416
BLM_AIM,18101512024679432018-09-01,NA,1810151320052584,NA,2018-09-04,2018-09-05,1,2,3,NA,NC,1,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,29891
BLM_AIM,20102008472360302020-09-01,NA,2010201824173396,NA,2020-10-19,2020-10-20,1,NA,6,24,NC,3,FALSE,NA,TERRADAT,BLM_Natl_AIM_TerrADat_Public,2025-01-13,38946
